kahve_adi,kategori,fiyat,aciklama,ozellikler,boyut_secenekleri,alerjenler
Espresso,espresso,19.00,"Klasik İtalyan espresso, yoğun ve aromatik","guclu,sicak,sade","Single,Double",""
Long Black,espresso,22.00,"Uzun espresso, Avustralya tarzı","guclu,sicak,sade","Regular,Large",""
Flat White,sutlu,26.00,"Mikro köpük süt ile güçlü espresso","guclu,sicak","Regular,Large","sut"
Cappuccino,sutlu,25.00,"Klasik cappuccino, mükemmel köpük","hafif,sicak","Regular,Large","sut"
Latte,sutlu,27.00,"Kremsi latte, bol süt","hafif,sicak","Regular,Large","sut"
Mocha,tatli,32.00,"Çikolatalı kahve, kakao ile","tatli,sicak","Regular,Large","sut,kakao"
Caramel Latte,tatli,30.00,"Karamel şuruplu latte","tatli,sicak","Regular,Large","sut"
Hazelnut Latte,tatli,31.00,"Fındık aromalı latte","tatli,sicak","Regular,Large","sut,findik"
White Chocolate Mocha,tatli,34.00,"Beyaz çikolata mocha","tatli,sicak","Regular,Large","sut,kakao"
Vanilla Slice Latte,tatli,33.00,"Vanilya dilimi aromalı latte","tatli,sicak","Regular,Large","sut"
Iced Coffee,soguk,24.00,"Buzlu kahve, klasik","hafif,soguk","Regular,Large",""
Iced Latte,soguk,28.00,"Buzlu latte, serinletici","hafif,soguk","Regular,Large","sut"
Iced Mocha,soguk,33.00,"Buzlu çikolata kahve","tatli,soguk","Regular,Large","sut,kakao"
Frappe,soguk,26.00,"Köpüklü buzlu kahve","hafif,soguk","Regular,Large","sut"
Cold Brew,soguk,25.00,"Soğuk demleme, yumuşak","hafif,soguk,sade","Regular,Large",""
Chai Latte,ozel,29.00,"Baharatlı çay latte","hafif,sicak","Regular,Large","sut"
Hot Chocolate,sicak_cikolata,28.00,"Sıcak çikolata, marshmallow ile","tatli,sicak","Regular,Large","sut,kakao"
Decaf Coffee,espresso,20.00,"Kafeinsiz espresso","hafif,sicak,sade","Single,Double",""
