kahve_adi,kategori,fiyat,aciklama,ozellikler,boyut_secenekleri,alerjenler
Americano,espresso,25.50,"Espresso ve sıcak su karışımı, sade ve güçlü","guclu,sicak,sade","Tall,Grande,Venti",""
Espresso,espresso,18.00,"Klasik İtalyan espresso, yoğun ve aromalı","guclu,sicak,sade","Single,Double",""
Pike Place Roast,filtre,22.00,"Starbucks'ın imza filtre kahvesi, yumuşak ve dengeli","hafif,sicak,sade","Tall,Grande,Venti",""
French Roast,filtre,24.00,"Koyu kavrulmuş, güçlü filtre kahve","guclu,sicak,sade","Tall,Grande,Venti",""
Cappuccino,sutlu,28.50,"Espresso, buharda ısıtılmış süt ve kalın köpük","hafif,sicak","Tall,Grande,Venti","sut"
Caffè Latte,sutlu,30.00,"Espresso ve bol miktarda buharda ısıtılmış süt","hafif,sicak","Tall,Grande,Venti","sut"
Caramel Macchiato,sutlu,35.50,"Vanilya aromalı süt, espresso ve karamel sos","tatli,sicak","Tall,Grande,Venti","sut"
Flat White,sutlu,32.00,"Güçlü espresso ve mikro-köpük süt","guclu,sicak","Tall,Grande","sut"
White Chocolate Mocha,tatli,38.00,"Espresso, beyaz çikolata sosu ve süt","tatli,sicak","Tall,Grande,Venti","sut,kakao"
Java Chip Frappuccino,tatli,42.50,"Çikolata parçacıklı buzlu kahve içeceği","tatli,soguk","Tall,Grande,Venti","sut,kakao"
Caramel Frappuccino,tatli,40.00,"Karamelli buzlu kahve içeceği","tatli,soguk","Tall,Grande,Venti","sut"
Cold Brew,soguk,26.00,"Soğuk suyla 20 saat demlenen yumuşak kahve","hafif,soguk,sade","Tall,Grande,Venti",""
Iced Americano,soguk,27.50,"Buzlu Americano, serinletici ve güçlü","guclu,soguk,sade","Tall,Grande,Venti",""
Iced Latte,soguk,32.00,"Buzlu latte, yumuşak ve kremsi","hafif,soguk","Tall,Grande,Venti","sut"
Pumpkin Spice Latte,tatli,39.00,"Balkabağı baharatlı latte, sonbahar klasiği","tatli,sicak","Tall,Grande,Venti","sut"
Turkish Coffee,ozel,35.00,"Geleneksel Türk kahvesi, yoğun ve aromatik","guclu,sicak,sade","Küçük",""
